Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
74168,2026,LCK,Sentinels,Team Liquid,Team Liquid,Team Liquid,Aatrox,Pantheon,Taliyah,Varus,Rell,Ambessa,Wukong,Ryze,Lucian,Nami
74169,2026,LCK,Team Liquid,Sentinels,Sentinels,Sentinels,Renekton,Jarvan IV,Orianna,Ezreal,Karma,Sion,Vi,Azir,Kaisa,Neeko
74170,2026,LCK,Sentinels,Team Liquid,Sentinels,Sentinels,Ornn,Xin Zhao,Galio,Corki,Rakan,Rumble,Lee Sin,Viktor,Yunara,Alistar
74177,2026,LCK,DN SOOPers,BNK FearX,DN SOOPers,DN SOOPers,Ambessa,Nocturne,Orianna,Yunara,Rakan,Aurora,Jarvan IV,Azir,Ezreal,Bard
74178,2026,LCK,DN SOOPers,BNK FearX,BNK FearX,BNK FearX,Gnar,Wukong,Cassiopeia,Corki,Alistar,Renekton,Lee Sin,Ryze,Sivir,Karma
74179,2026,LCK,BNK FearX,DN SOOPers,BNK FearX,DN SOOPers,KSante,Pantheon,Ahri,Xayah,Poppy,Gwen,Vi,Akali,Jhin,Leona
74180,2026,LCK,BNK FearX,DN SOOPers,DN SOOPers,DN SOOPers,RekSai,Xin Zhao,Taliyah,Kalista,Renata Glasc,Zaahen,Dr. Mundo,Zoe,Caitlyn,Neeko
74181,2026,LCK,DN SOOPers,BNK FearX,BNK FearX,BNK FearX,Jax,Rammus,Smolder,Miss Fortune,Rell,Sion,Zac,Galio,Aphelios,Thresh
74182,2026,LCK,Dplus KIA,DRX,DRX,Dplus KIA,Jayce,Ambessa,Azir,Jhin,Bard,Kennen,Xin Zhao,Orianna,Corki,Nautilus
74183,2026,LCK,Dplus KIA,DRX,Dplus KIA,Dplus KIA,Gnar,Dr. Mundo,Zoe,Ashe,Seraphine,Aurora,Zaahen,Sylas,Yunara,Karma
74184,2026,LCK,Dplus KIA,DRX,DRX,Dplus KIA,KSante,Nocturne,Viktor,Varus,Alistar,Renekton,Olaf,Ryze,Sivir,Poppy
